SecDepartment_key,efmnhrepatriation_key,SecDepartment
1,1,Zoology
2,1,Fishes
3,2,Zoology
4,2,Fishes
5,3,Zoology
6,4,Fishes
7,4,Zoology
8,5,Anthropology
9,6,Amphibians and Reptiles
10,6,Zoology
11,7,Anthropology
12,7,Fishes
13,8,Zoology
14,8,Fishes
15,9,Zoology
16,9,Fishes
17,10,Anthropology
18,11,Fishes
19,11,Zoology
20,12,Botany
21,13,Botany
22,14,Botany
23,15,Geology
24,16,Geology
25,17,Geology
26,18,Geology
27,19,Anthropology
28,20,Anthropology
29,21,Fishes
30,21,Zoology
31,22,Fishes
32,22,Zoology
33,23,Anthropology
34,24,Fishes
35,24,Zoology
36,25,Anthropology
37,26,Anthropology
38,27,Anthropology
39,28,Anthropology
40,29,Anthropology
41,30,Fishes
42,30,Zoology
43,31,Anthropology
44,32,Anthropology
45,33,Anthropology
46,34,Anthropology
47,35,Anthropology
48,36,Anthropology
49,37,Anthropology
50,38,Fishes
51,38,Zoology
52,39,Anthropology
53,40,Anthropology
