"LoanYear","DarCollectionCode","SumItems","CountLoans"
2005,"Amphibians and Reptiles",NA,167
2005,"Anthropology",NA,17
2005,"Birds",3155,121
2005,"Botany",12062,175
2005,"Fishes",NA,15
2005,"Insects",25704,149
2005,"Invertebrate Zoology",NA,46
2005,"Mammals",NA,104
2005,"Paleobotany",NA,1
2006,"Amphibians and Reptiles",NA,93
2006,"Anthropology",NA,21
2006,"Birds",1570,104
2006,"Botany",13615,213
2006,"Fishes",NA,23
2006,"Insects",18141,142
2006,"Invertebrate Zoology",NA,52
2006,"Mammals",NA,104
2006,"Paleobotany",NA,4
2007,"Amphibians and Reptiles",NA,111
2007,"Anthropology",NA,13
2007,"Birds",2894,103
2007,"Botany",11257,184
2007,"Fishes",2619,25
2007,"Insects",37744,205
2007,"Invertebrate Zoology",NA,28
2007,"Mammals",NA,93
2007,"Paleobotany",NA,5
2008,"Amphibians and Reptiles",NA,91
2008,"Anthropology",NA,16
2008,"Birds",NA,102
2008,"Botany",10793,129
2008,"Fishes",3073,27
2008,"Insects",29117,148
2008,"Invertebrate Zoology",10783,74
2008,"Mammals",NA,97
2009,"Amphibians and Reptiles",NA,86
2009,"Anthropology",NA,12
2009,"Birds",NA,107
2009,"Botany",NA,134
2009,"Fishes",1635,30
2009,"Insects",NA,191
2009,"Invertebrate Zoology",NA,45
2009,"Mammals",NA,77
2009,"Paleobotany",NA,6
2010,"Amphibians and Reptiles",NA,69
2010,"Anthropology",NA,11
2010,"Birds",NA,121
2010,"Botany",NA,111
2010,"Fishes",1072,24
2010,"Insects",20516,138
2010,"Invertebrate Zoology",3064,55
2010,"Mammals",NA,110
2010,"Paleobotany",NA,5
2011,"Amphibians and Reptiles",NA,77
2011,"Anthropology",NA,12
2011,"Birds",NA,66
2011,"Botany",7668,128
2011,"Fishes",973,25
2011,"Insects",9423,82
2011,"Invertebrate Zoology",NA,53
2011,"Mammals",NA,70
2011,"Paleobotany",NA,3
2012,"Amphibians and Reptiles",1443,58
2012,"Anthropology",NA,13
2012,"Birds",NA,60
2012,"Botany",12849,120
2012,"Fishes",1731,30
2012,"Insects",NA,112
2012,"Invertebrate Zoology",6043,35
2012,"Mammals",NA,73
2013,"Amphibians and Reptiles",NA,48
2013,"Anthropology",NA,11
2013,"Birds",NA,73
2013,"Botany",7740,168
2013,"Exhibitions",NA,11
2013,"Fishes",1225,28
2013,"Fossil Invertebrates",NA,8
2013,"Fossil Vertebrates",22,3
2013,"Insects",NA,78
2013,"Invertebrate Zoology",7950,35
2013,"Library",25,1
2013,"Mammals",NA,82
2013,"Paleobotany",NA,6
2013,"Physical Geology",13,1
2014,"Amphibians and Reptiles",NA,50
2014,"Anthropology",NA,8
2014,"Birds",NA,56
2014,"Botany",NA,113
2014,"Exhibitions",3,1
2014,"Fishes",936,29
2014,"Fossil Invertebrates",NA,14
2014,"Fossil Vertebrates",NA,1
2014,"Insects",NA,100
2014,"Invertebrate Zoology",2929,29
2014,"Mammals",NA,50
2014,"Paleobotany",NA,13
2015,"Amphibians and Reptiles",NA,60
2015,"Anthropology",NA,11
2015,"Birds",NA,51
2015,"Botany",NA,141
2015,"Fishes",3021,51
2015,"Fossil Invertebrates",NA,22
2015,"Insects",NA,114
2015,"Invertebrate Zoology",NA,27
2015,"Mammals",NA,72
2015,"Paleobotany",NA,5
2016,"Amphibians and Reptiles",NA,51
2016,"Anthropology",NA,11
2016,"Birds",NA,46
2016,"Botany",8320,119
2016,"Exhibitions",NA,18
2016,"Fishes",1190,45
2016,"Fossil Invertebrates",NA,23
2016,"Insects",NA,120
2016,"Invertebrate Zoology",NA,24
2016,"Mammals",NA,76
2016,"Paleobotany",NA,2
2017,"Amphibians and Reptiles",NA,20
2017,"Anthropology",NA,4
2017,"Birds",NA,38
2017,"Botany",NA,41
2017,"Fishes",NA,22
2017,"Fossil Invertebrates",388,9
2017,"Insects",4796,36
2017,"Invertebrate Zoology",1911,14
2017,"Mammals",NA,24
2017,"Paleobotany",18,4
2018,"Anthropology",NA,1
