"VisitYear","DarCollectionCode","SumVisits","CountVisits"
"2005","Birds",3155,NA
"2005","Botany",12062,NA
"2005","Insects",25704,NA
"2006","Birds",1570,NA
"2006","Botany",13615,NA
"2006","Insects",18141,NA
"2007","Birds",2894,NA
"2007","Botany",11257,NA
"2007","Fishes",2619,NA
"2007","Insects",37744,NA
"2008","Botany",10793,NA
"2008","Fishes",3073,NA
"2008","Insects",29117,NA
"2008","Invertebrate Zoology",10783,NA
"2009","Fishes",1635,NA
"2010","Fishes",1072,NA
"2010","Insects",20516,NA
"2010","Invertebrate Zoology",3064,NA
"2011","Botany",7668,NA
"2011","Fishes",973,NA
"2011","Insects",9423,NA
"2012","Amphibians and Reptiles",1443,NA
"2012","Botany",12849,NA
"2012","Fishes",1731,NA
"2012","Invertebrate Zoology",6043,NA
"2013","Botany",7740,NA
"2013","Fishes",1225,NA
"2013","Fossil Vertebrates",22,NA
"2013","Invertebrate Zoology",7950,NA
"2013","Library",25,NA
"2013","Physical Geology",13,NA
"2014","Exhibitions",3,NA
"2014","Fishes",936,NA
"2014","Invertebrate Zoology",2929,NA
"2015","Fishes",3021,NA
"2016","Botany",8320,NA
"2016","Fishes",1190,NA
"2017","Fossil Invertebrates",388,NA
"2017","Insects",4796,NA
"2017","Invertebrate Zoology",1911,NA
"2017","Paleobotany",18,NA
"Amphibians and Reptiles","2005",NA,167
"Amphibians and Reptiles","2006",NA,93
"Amphibians and Reptiles","2007",NA,111
"Amphibians and Reptiles","2008",NA,91
"Amphibians and Reptiles","2009",NA,86
"Amphibians and Reptiles","2010",NA,69
"Amphibians and Reptiles","2011",NA,77
"Amphibians and Reptiles","2012",NA,58
"Amphibians and Reptiles","2013",NA,48
"Amphibians and Reptiles","2014",NA,50
"Amphibians and Reptiles","2015",NA,60
"Amphibians and Reptiles","2016",NA,51
"Amphibians and Reptiles","2017",NA,20
"Anthropology","2005",NA,17
"Anthropology","2006",NA,21
"Anthropology","2007",NA,13
"Anthropology","2008",NA,16
"Anthropology","2009",NA,12
"Anthropology","2010",NA,11
"Anthropology","2011",NA,12
"Anthropology","2012",NA,13
"Anthropology","2013",NA,11
"Anthropology","2014",NA,8
"Anthropology","2015",NA,11
"Anthropology","2016",NA,11
"Anthropology","2017",NA,4
"Anthropology","2018",NA,1
"Birds","2005",NA,121
"Birds","2006",NA,104
"Birds","2007",NA,103
"Birds","2008",NA,102
"Birds","2009",NA,107
"Birds","2010",NA,121
"Birds","2011",NA,66
"Birds","2012",NA,60
"Birds","2013",NA,73
"Birds","2014",NA,56
"Birds","2015",NA,51
"Birds","2016",NA,46
"Birds","2017",NA,38
"Botany","2005",NA,175
"Botany","2006",NA,213
"Botany","2007",NA,184
"Botany","2008",NA,129
"Botany","2009",NA,134
"Botany","2010",NA,111
"Botany","2011",NA,128
"Botany","2012",NA,120
"Botany","2013",NA,168
"Botany","2014",NA,113
"Botany","2015",NA,141
"Botany","2016",NA,119
"Botany","2017",NA,41
"Exhibitions","2013",NA,11
"Exhibitions","2014",NA,1
"Exhibitions","2016",NA,18
"Fishes","2005",NA,15
"Fishes","2006",NA,23
"Fishes","2007",NA,25
"Fishes","2008",NA,27
"Fishes","2009",NA,30
"Fishes","2010",NA,24
"Fishes","2011",NA,25
"Fishes","2012",NA,30
"Fishes","2013",NA,28
"Fishes","2014",NA,29
"Fishes","2015",NA,51
"Fishes","2016",NA,45
"Fishes","2017",NA,22
"Fossil Invertebrates","2013",NA,8
"Fossil Invertebrates","2014",NA,14
"Fossil Invertebrates","2015",NA,22
"Fossil Invertebrates","2016",NA,23
"Fossil Invertebrates","2017",NA,9
"Fossil Vertebrates","2013",NA,3
"Fossil Vertebrates","2014",NA,1
"Insects","2005",NA,149
"Insects","2006",NA,142
"Insects","2007",NA,205
"Insects","2008",NA,148
"Insects","2009",NA,191
"Insects","2010",NA,138
"Insects","2011",NA,82
"Insects","2012",NA,112
"Insects","2013",NA,78
"Insects","2014",NA,100
"Insects","2015",NA,114
"Insects","2016",NA,120
"Insects","2017",NA,36
"Invertebrate Zoology","2005",NA,46
"Invertebrate Zoology","2006",NA,52
"Invertebrate Zoology","2007",NA,28
"Invertebrate Zoology","2008",NA,74
"Invertebrate Zoology","2009",NA,45
"Invertebrate Zoology","2010",NA,55
"Invertebrate Zoology","2011",NA,53
"Invertebrate Zoology","2012",NA,35
"Invertebrate Zoology","2013",NA,35
"Invertebrate Zoology","2014",NA,29
"Invertebrate Zoology","2015",NA,27
"Invertebrate Zoology","2016",NA,24
"Invertebrate Zoology","2017",NA,14
"Library","2013",NA,1
"Mammals","2005",NA,104
"Mammals","2006",NA,104
"Mammals","2007",NA,93
"Mammals","2008",NA,97
"Mammals","2009",NA,77
"Mammals","2010",NA,110
"Mammals","2011",NA,70
"Mammals","2012",NA,73
"Mammals","2013",NA,82
"Mammals","2014",NA,50
"Mammals","2015",NA,72
"Mammals","2016",NA,76
"Mammals","2017",NA,24
"Paleobotany","2005",NA,1
"Paleobotany","2006",NA,4
"Paleobotany","2007",NA,5
"Paleobotany","2009",NA,6
"Paleobotany","2010",NA,5
"Paleobotany","2011",NA,3
"Paleobotany","2013",NA,6
"Paleobotany","2014",NA,13
"Paleobotany","2015",NA,5
"Paleobotany","2016",NA,2
"Paleobotany","2017",NA,4
"Physical Geology","2013",NA,1
